HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck,Num,Side,Group,GroupSize
1,0,2,0.7119453650967104,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,0,1,-1.191743952672521,0,-1.7344088516090719,-0.6487347223401672
0,0,2,-0.33403748485524115,0,-0.16807343153112558,-0.27538656847021764,-0.2417707085098513,0.21715824908070328,-0.2242046757208368,1,5,-1.191743952672521,1,-1.7340344425043877,-0.6487347223401672
1,0,2,2.0368569750358487,1,-0.26800059707635127,1.9599976497107467,-0.2835786325139853,5.695622892929779,-0.21979574252259557,0,0,-1.191743952672521,1,-1.7336600333997032,-0.022268276961021034
1,0,2,0.29355222511592977,0,-0.33310465947702855,0.523009701213704,0.33685095970736284,2.687176366158295,-0.09281846641324847,0,0,-1.191743952672521,1,-1.7336600333997032,-0.022268276961021034
0,0,2,-0.8918950048296153,0,0.12565187325332555,-0.2371588035952418,-0.031058771529016094,0.23137418068978294,-0.26123971458606304,1,5,-1.1897689923428836,1,-1.733285624295019,-0.6487347223401672
0,0,1,1.0606063150806941,0,-0.33310465947702855,0.021661965148447117,-0.2835786325139853,-0.012073648115706317,-0.26300328786535954,1,5,-1.191743952672521,0,-1.7329112151903348,-0.6487347223401672
0,0,2,-0.19457310486164758,0,-0.2695146450391577,0.6834409767545863,-0.2785616816334892,-0.2706259042558427,-0.26300328786535954,1,5,-1.1877940320132463,1,-1.7325368060856503,-0.022268276961021034
0,1,2,-0.05510872486805407,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,1,6,-1.191743952672521,1,-1.7325368060856503,-0.022268276961021034
0,0,2,0.4330166051095233,0,-0.33310465947702855,0.21092073551308163,-0.2551492441911742,-0.07871082753326725,-0.26300328786535954,1,5,-1.185819071683609,1,-1.732162396980966,-0.6487347223401672
1,1,0,-1.0313593848232088,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,1,1,-1.1897689923428836,0,-1.7317879878762816,0.604198168418125
1,1,2,0.3632844151127265,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,1,1,-1.1897689923428836,0,-1.7317879878762816,0.604198168418125
1,0,0,1.130338505077491,0,-0.27405678892757707,4.29063793774411,0.7014160570234111,-0.17289137444342004,-0.1536617445489773,1,1,-1.1897689923428836,0,-1.7317879878762816,0.604198168418125
2,0,2,0.22382003511913298,0,-0.22257915819215776,-0.2810267305009518,1.5944333137517128,-0.2706259042558427,-0.16336139758510798,1,5,-1.1897689923428836,0,-1.7314135787715974,-0.6487347223401672
0,0,2,1.3395350750678812,0,0.7554958257808085,-0.2804000458308702,-0.17487803010323696,-0.2706259042558427,-0.24184040851380167,0,6,-1.1897689923428836,1,-1.7310391696669132,-0.6487347223401672
0,0,2,-0.05510872486805407,0,-0.32099227577457695,0.3293641381584986,-0.26351082899200096,-0.2688489128047078,-0.25683078138782184,1,5,-1.1877940320132463,0,-1.7306647605622287,-0.6487347223401672
0,0,2,0.15408784512233623,0,-0.2846551246672222,-0.2810267305009518,1.181371024590869,-0.2706259042558427,-0.26300328786535954,0,6,0.2578769292813173,1,-1.7302903514575445,-0.6487347223401672
2,0,0,-0.12484091486485083,0,1.6139610206920652,-0.2045712007510001,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,0,5,-1.185819071683609,0,-1.7295415332481758,-0.6487347223401672
0,0,0,-0.33403748485524115,0,-0.33310465947702855,-0.2804000458308702,-0.2835786325139853,-0.2706259042558427,0.2986948015905718,0,5,-1.1838441113539715,0,-1.7291671241434916,-0.6487347223401672
2,1,2,1.130338505077491,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,1,5,-1.1818691510243342,0,-1.7287927150388072,-0.6487347223401672
0,0,2,-2.0076100447783634,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,1,6,-1.191743952672521,0,-1.728418305934123,-0.022268276961021034
0,0,0,-1.0313593848232088,0,0.2906831011992285,-0.2810267305009518,-0.2819063155538199,-0.2706259042558427,0.33572984045579807,0,5,-1.1798941906946967,0,-1.728418305934123,-0.022268276961021034
0,1,2,-1.9378778547815667,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,0,4,-1.191743952672521,1,-1.72729507862007,2.483597504555563
0,1,0,1.409267265064678,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,0,4,-1.191743952672521,1,-1.72729507862007,2.483597504555563
0,1,0,0.014623465128742697,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,0,4,-1.191743952672521,1,-1.72729507862007,2.483597504555563
0,0,2,-1.3102881448103958,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,1,4,-1.191743952672521,1,-1.72729507862007,2.483597504555563
0,1,1,-1.9378778547815667,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,0,4,-1.191743952672521,1,-1.72729507862007,2.483597504555563
0,0,2,-1.5194847148007862,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,0,4,-1.191743952672521,1,-1.72729507862007,2.483597504555563
